Postcode,City,Section,Buyertype,#N/A
3680,Neeroeteren,Z8,Volwassene,
3680,NEEROETEREN,Z8,Volwassene,
3620,LANAKEN,LL,Volwassene,
3600,Genk,EE,Volwassene,
3680,OPOETEREN,MM,Volwassene,
3530,Helchteren,TT,Volwassene,
3600,GENK,FF,Minder validen,
3540,Herk de Stad,B,Volwassene,
3720,Kortessem,M,Volwassene,
3650,LANKLAAR,Z3,Volwassene,
3650,LANKLAAR,Z3,Volwassene,
3910,Pelt,JJ,Volwassene,
3670,Oudsbergen,J,Volwassene,
3770,RIEMST,JJ,Volwassene,
3770,MEMBRUGGEN,JJ,Volwassene,
3770,VLIJTINGEN,S,Volwassene,
3770,RIEMST,JJ,Volwassene,
3740,BILZEN,KK,Volwassene,
3740,BILZEN,KK,Volwassene,
3650,DILSEN-STOKKEM,JJ,Volwassene,
3770,VLIJTINGEN,JJ,Volwassene,
3740,ROSMEER,JJ,Volwassene,
3746,HOELBEEK,T,Volwassene,
3740,Bilzen,JJ,Volwassene,
3740,GROTE-SPOUWEN,JJ,Volwassene,
3770,MILLEN,EE,Volwassene,
3770,VLIJTINGEN,JJ,Volwassene,
3770,Riemst,EE,Volwassene,
3770,HERDEREN,JJ,Volwassene,
3770,ZICHEN-ZUSSEN-BOLDER,JJ,Volwassene,
3746,HOELBEEK,KK,Volwassene,
3746,HOELBEEK,KK,Volwassene,
3740,HEES,HH,Volwassene,
3770,VAL-MEER,JJ,Volwassene,
3770,VAL-MEER,JJ,Volwassene,
3770,VAL-MEER,JJ,Volwassene,
3740,GROTE-SPOUWEN,JJ,Volwassene,
3770,Zichen-zussen-bolder,JJ,Volwassene,
3770,ZICHEN-ZUSSEN-BOLDER,RR,Volwassene,
3680,Maaseik,Q1,Volwassene,
3770,Zichen-zussen-bolder,JJ,Volwassene,
3500,HASSELT,JJ,Volwassene,
3770,Zichen-Zussen-Bolder,JJ,Volwassene,
3770,RIEMST,S,Volwassene,
3740,ROSMEER,JJ,Volwassene,
3740,ROSMEER,JJ,Volwassene,
3770,HERDEREN,II,Volwassene,
3600,GENK,K,Volwassene,
3600,Genk,K,Volwassene,
3690,ZUTENDAAL,K,Volwassene,
3620,GELLIK,K,Volwassene,
3550,ZOLDER,CC,Volwassene,
3600,genk,II,Volwassene,
